samplename	orig_filenames	group	tissue	sex	driver	target	replicate	lane
DD16_tj_dam_F_ovary_2	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_16/DamIDseq_16_CGATGT_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_16/DamIDseq_16_S48_L008_R1_001.fastq.gz"	DamIDseq_16	ovary	female	tj	dam	2	8
DD17_tj_dam_F_ovary_3	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_17/DamIDseq_17_TTAGGC_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_17/DamIDseq_17_S47_L007_R1_001.fastq.gz"	DamIDseq_17	ovary	female	tj	dam	3	8
DD18_tj_polII_F_ovary_1	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_18/DamIDseq_18_TGACCA_L008_R1_001.fastq.gz	DamIDseq_18	ovary	female	tj	polII	1	8
DD19_tj_polII_F_ovary_2	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_19/DamIDseq_19_ACAGTG_L008_R1_001.fastq.gz	DamIDseq_19	ovary	female	tj	polII	2	8
DD20_tj_polII_F_ovary_3	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_20/DamIDseq_20_GCCAAT_L008_R1_001.fastq.gz	DamIDseq_20	ovary	female	tj	polII	3	8
DD21_tub_dam_M_whole_2	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_21/DamIDseq_21_CAGATC_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_21/DamIDseq_21_S51_L008_R1_001.fastq.gz"	DamIDseq_21	whole	male	tub	dam	2	8
DD22_tub_polII_M_whole_2	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_22/DamIDseq_22_ACTTGA_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_22/DamIDseq_22_ACTTGA_L008_R1_002.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_22/DamIDseq_22_S53_L008_R1_001.fastq.gz"	DamIDseq_22	whole	male	tub	polII	2	8
DD23_e132_dam_M_testis_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_23/DamIDseq_23_GATCAG_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_23/DamIDseq_23_S42_L007_R1_001.fastq.gz"	DamIDseq_23	testis	male	e132	dam	1	8
DD24_e132_dam_M_testis_3	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_24/DamIDseq_24_GGCTAC_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_24/DamIDseq_24_S45_L007_R1_001.fastq.gz"	DamIDseq_24	testis	male	e132	dam	3	8
DD25_e132_polII_M_testis_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_25/DamIDseq_25_CTTGTA_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_25/DamIDseq_25_S49_L008_R1_001.fastq.gz"	DamIDseq_25	testis	male	e132	polII	1	8
DD26_e132_polII_M_testis_2	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_26/DamIDseq_26_AGTCAA_L008_R1_001.fastq.gz	DamIDseq_26	testis	male	e132	polII	2	8
DD27_tub_dam_M_whole_1	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_27/DamIDseq_27_ATGTCA_L008_R1_001.fastq.gz	DamIDseq_27	whole	male	tub	dam	1	8
DD28_tub_polII_M_whole_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_28/DamIDseq_28_CCGTCC_L008_R1_001.fastq.gz,/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_28/DamIDseq_28_CCGTCC_L008_R1_002.fastq.gz"	DamIDseq_28	whole	male	tub	polII	1	8
A1_c587_dam_F_ovary_1	/data/Oliverlab/fastq/160819_run0496/Sample_A1_c587_dam_female_1/A1_c587_dam_female_1_S62_L003_R1_001.fastq.gz	A1_c587_dam_female_1	ovary	female	c587	dam	1	3
B1_tj_dam_F_ovary_1	/data/Oliverlab/fastq/160819_run0496/Sample_B1_tj_dam_female_1/B1_tj_dam_female_1_S57_L003_R1_001.fastq.gz	B1_tj_dam_female_1	ovary	female	tj	dam	1	3
